Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,4242.9,4248.38,4232.25,4247.44,4247.44,3815010000
2021-06-14,4248.31,4255.59,4234.07,4255.15,4255.15,4151200000
2021-06-15,4255.28,4257.16,4238.35,4246.59,4246.59,4048940000
2021-06-16,4248.87,4251.89,4202.45,4223.7,4223.7,4538350000
2021-06-17,4220.37,4232.29,4196.05,4221.86,4221.86,5312680000
2021-06-18,4204.78,4204.78,4164.4,4166.45,4166.45,6817010000
2021-06-21,4173.4,4226.24,4173.4,4224.79,4224.79,4128950000
2021-06-22,4224.61,4255.84,4217.27,4246.44,4246.44,3828390000
2021-06-23,4249.27,4256.6,4241.43,4241.84,4241.84,3730350000
2021-06-24,4256.97,4271.28,4256.97,4266.49,4266.49,3816660000
2021-06-25,4274.45,4286.12,4271.16,4280.7,4280.7,7341450000
2021-06-28,4284.9,4292.14,4274.67,4290.61,4290.61,4147890000
2021-06-29,4293.21,4300.52,4287.04,4291.8,4291.8,3707150000
2021-06-30,4290.65,4302.43,4287.96,4297.5,4297.5,4266040000
2021-07-01,4300.73,4320.66,4300.73,4319.94,4319.94,3788230000
2021-07-02,4326.6,4355.43,4326.6,4352.34,4352.34,3225840000
2021-07-06,4356.46,4356.46,4314.37,4343.54,4343.54,4309570000
2021-07-07,4351.01,4361.88,4329.79,4358.13,4358.13,4037380000
2021-07-08,4321.07,4330.88,4289.37,4320.82,4320.82,4347500000
2021-07-09,4329.38,4371.6,4329.38,4369.55,4369.55,3531120000
2021-07-12,4372.41,4386.68,4364.03,4384.63,4384.63,3384460000
2021-07-13,4381.07,4392.37,4366.92,4369.21,4369.21,3695430000
2021-07-14,4380.11,4393.68,4362.36,4374.3,4374.3,4006370000
2021-07-15,4369.02,4369.02,4340.7,4360.03,4360.03,3905230000
2021-07-16,4367.43,4375.09,4322.53,4327.16,4327.16,3985700000
2021-07-19,4296.4,4296.4,4233.13,4258.49,4258.49,5157660000
2021-07-20,4265.11,4336.84,4262.05,4323.06,4323.06,4438270000
2021-07-21,4331.13,4359.7,4331.13,4358.69,4358.69,3810280000
2021-07-22,4361.27,4369.87,4350.06,4367.48,4367.48,3358300000
2021-07-23,4381.2,4415.18,4381.2,4411.79,4411.79,4540070000
2021-07-26,4409.58,4422.73,4405.45,4422.3,4422.3,4275630000
2021-07-27,4416.38,4416.38,4372.51,4401.46,4401.46,4241950000
2021-07-28,4402.95,4415.47,4387.01,4400.64,4400.64,4215290000
2021-07-29,4403.59,4429.97,4403.59,4419.15,4419.15,4044600000
2021-07-30,4395.12,4412.25,4389.65,4395.26,4395.26,3956740000
2021-08-02,4406.86,4422.18,4384.81,4387.16,4387.16,3724090000
2021-08-03,4392.74,4423.79,4373,4423.15,4423.15,3965190000
2021-08-04,4415.95,4416.17,4400.23,4402.66,4402.66,4260760000
2021-08-05,4408.86,4429.76,4408.86,4429.1,4429.1,3769410000
2021-08-06,4429.07,4440.82,4429.07,4436.52,4436.52,3451870000
2021-08-09,4437.77,4439.39,4424.74,4432.35,4432.35,3449280000
2021-08-10,4435.79,4445.21,4430.03,4436.75,4436.75,3886610000
2021-08-11,4442.18,4449.44,4436.42,4442.41,4442.41,3532560000
