,date,price,1d,2d,3d,4d,5d
2363,2016-06-30,17929.99,18060.017578125,18015.916015625,17978.359375,18197.40234375,18209.09765625
2364,2016-07-01,17949.37,17889.146484375,17979.287109375,18055.171875,18183.87109375,18200.783203125
2365,2016-07-05,17840.62,17832.96484375,17922.015625,17973.529296875,18125.5859375,17881.314453125
2366,2016-07-06,17918.62,17963.109375,18024.142578125,18037.828125,18152.634765625,18068.93359375
2367,2016-07-07,17895.88,18151.17578125,18203.705078125,18248.509765625,18338.404296875,18358.345703125
2368,2016-07-08,18146.74,18203.078125,18269.916015625,18383.47265625,18365.87890625,18416.49609375
2369,2016-07-11,18226.93,18381.86328125,18432.22265625,18524.580078125,18465.455078125,18524.17578125
2370,2016-07-12,18347.67,18317.892578125,18361.671875,18348.44921875,18446.556640625,18400.59375
2371,2016-07-13,18372.12,18216.052734375,18126.814453125,18111.216796875,18040.611328125,17791.880859375
2372,2016-07-14,18506.41,18504.537109375,18557.40625,18545.353515625,18477.935546875,18486.982421875
2373,2016-07-15,18516.55,18452.611328125,18385.068359375,18299.87890625,18259.9453125,18442.068359375
2374,2016-07-18,18533.05,18301.28515625,18088.375,18304.00390625,17996.533203125,17990.251953125
2375,2016-07-19,18559.01,18533.3828125,18599.59765625,18508.57421875,18491.517578125,18470.904296875
2376,2016-07-20,18595.03,18616.42578125,18640.095703125,18486.1015625,18431.560546875,18478.98828125
2377,2016-07-21,18517.23,18555.20703125,18531.025390625,18462.55859375,18511.08984375,18189.58203125
2378,2016-07-22,18570.85,18506.81640625,18416.537109375,18353.796875,18438.033203125,18410.4140625
2379,2016-07-25,18493.06,18388.400390625,18457.244140625,18204.9921875,18347.861328125,18331.927734375
2380,2016-07-26,18473.75,18479.2578125,18481.841796875,18419.091796875,18430.689453125,18400.5625
2381,2016-07-27,18472.17,18483.3359375,18365.166015625,18242.8828125,18086.328125,18022.8984375
2382,2016-07-28,18456.35,18490.658203125,18496.671875,18380.263671875,18318.865234375,18414.73046875
2383,2016-07-29,18432.24,18541.5859375,18558.421875,18403.517578125,18306.109375,18411.34765625
2384,2016-08-01,18404.51,18502.19140625,18500.43359375,18556.587890625,18649.294921875,18648.23046875
2385,2016-08-02,18313.77,18364.388671875,18290.306640625,18452.412109375,18620.919921875,18598.984375
2386,2016-08-03,18355.0,18484.869140625,18571.435546875,18809.8203125,18838.595703125,18647.66015625
2387,2016-08-04,18352.05,18479.279296875,18758.669921875,18927.990234375,18896.974609375,18806.58984375
2388,2016-08-05,18543.53,18662.986328125,18866.095703125,18880.095703125,18825.267578125,18764.052734375
2389,2016-08-08,18529.29,18583.546875,18694.830078125,18726.484375,18752.515625,18647.435546875
2390,2016-08-09,18533.05,18537.28515625,18570.232421875,18561.19140625,18644.689453125,18609.595703125
2391,2016-08-10,18495.66,18467.693359375,18506.8515625,18593.103515625,18641.134765625,18634.794921875
2392,2016-08-11,18613.52,18602.38671875,18556.771484375,18449.263671875,18382.44140625,18196.30078125
2393,2016-08-12,18576.47,18580.080078125,18568.32421875,18535.64453125,18422.412109375,18531.701171875
2394,2016-08-15,18636.05,18660.68359375,18661.775390625,18597.66796875,18586.521484375,18668.9921875
2395,2016-08-16,18552.02,18604.15625,18609.314453125,18587.87890625,18599.12109375,18700.96484375
2396,2016-08-17,18573.94,18521.32421875,18485.955078125,18566.521484375,18573.978515625,18617.677734375
2397,2016-08-18,18597.7,18446.05859375,18473.09375,18602.25,18647.85546875,18651.869140625
2398,2016-08-19,18552.57,18564.53125,18598.59765625,18569.818359375,18541.869140625,18497.677734375
2399,2016-08-22,18529.42,18507.25390625,18435.75,18288.482421875,18244.482421875,18290.908203125
2400,2016-08-23,18547.3,18513.26171875,18530.869140625,18431.51171875,18460.779296875,18461.091796875
2401,2016-08-24,18481.48,18434.2265625,18439.72265625,18417.265625,18427.5546875,18429.796875
2402,2016-08-25,18448.41,18425.8828125,18427.12109375,18418.984375,18404.654296875,18393.005859375
2403,2016-08-26,18395.4,18448.466796875,18470.26953125,18459.9921875,18479.205078125,18464.546875
2404,2016-08-29,18502.99,18453.1328125,18379.744140625,18391.537109375,18438.611328125,18444.591796875
2405,2016-08-30,18454.3,18444.33203125,18447.173828125,18521.630859375,18537.33984375,18513.822265625
2406,2016-08-31,18400.88,18464.30859375,18531.564453125,18569.66796875,18570.76171875,18498.84765625
2407,2016-09-01,18419.3,18502.28515625,18542.603515625,18545.724609375,18527.671875,18455.626953125
2408,2016-09-02,18491.96,18479.16796875,18496.681640625,18411.46875,18376.173828125,18341.794921875
2409,2016-09-06,18538.12,18429.1875,18406.8515625,18239.935546875,18228.03515625,18055.41015625
2410,2016-09-07,18526.14,18423.962890625,18357.4296875,18277.2421875,18276.390625,18060.287109375
2411,2016-09-08,18479.91,18459.095703125,18339.154296875,18192.06640625,18167.03125,18175.6171875
2412,2016-09-09,18085.45,18249.1171875,18280.880859375,18358.796875,18371.498046875,18329.537109375
2413,2016-09-12,18325.07,18242.78125,18270.666015625,18363.04296875,18342.7265625,18317.2578125
2414,2016-09-13,18066.75,18037.873046875,18160.15234375,18164.041015625,18179.62109375,18224.298828125
2415,2016-09-14,18034.77,18167.79296875,18166.435546875,18222.75,18261.73046875,18398.97265625
2416,2016-09-15,18212.48,18145.607421875,18103.513671875,18167.248046875,18275.06640625,18444.85546875
2417,2016-09-16,18123.8,18062.572265625,18094.232421875,18238.78125,18293.912109375,18368.986328125
2418,2016-09-19,18120.17,18109.357421875,18185.7578125,18245.8359375,18259.87890625,18210.482421875
2419,2016-09-20,18129.96,18208.1015625,18195.74609375,18248.33203125,18259.41796875,18217.861328125
2420,2016-09-21,18293.7,18285.271484375,18266.876953125,18265.701171875,18283.349609375,18392.248046875
2421,2016-09-22,18392.46,18369.39453125,18313.3984375,18400.59375,18391.27734375,18462.208984375
2422,2016-09-23,18261.45,18350.30078125,18358.513671875,18310.20703125,18340.951171875,18361.998046875
2423,2016-09-26,18094.83,18196.201171875,18260.93359375,18306.78515625,18230.236328125,18254.44921875
2424,2016-09-27,18228.3,18139.7890625,18071.837890625,18050.8125,18040.09375,18063.453125
2425,2016-09-28,18339.24,18324.13671875,18427.626953125,18050.462890625,18180.24609375,18327.728515625
2426,2016-09-29,18143.45,18223.302734375,18254.779296875,18265.07421875,18280.6171875,18285.576171875
2427,2016-09-30,18308.15,18251.4921875,18351.337890625,18471.759765625,18370.990234375,18057.076171875
